2026-08-09 19:50:32,635 INFO mulitaminer.pdf_reader: Extracted 375 pages from openvas_raesene_bwapp.pdf
2026-08-09 19:50:32,741 INFO mulitaminer.pipeline: Segmented 246 finding blocks
2026-08-09 19:50:32,937 INFO mulitaminer.chunking: Packed 246 blocks into 62 chunks
2026-08-09 19:51:53,122 WARNING mulitaminer.extraction: Chunk 0: invalid response (JSONDecodeError); its blocks go to retry
2026-08-09 19:52:56,003 WARNING mulitaminer.extraction: Chunk 1: invalid response (JSONDecodeError); its blocks go to retry
2026-08-09 19:54:01,893 WARNING mulitaminer.extraction: Chunk 2: invalid response (JSONDecodeError); its blocks go to retry
2026-08-09 19:55:03,691 WARNING mulitaminer.extraction: Chunk 3: invalid response (JSONDecodeError); its blocks go to retry
2026-08-09 19:56:00,905 WARNING mulitaminer.extraction: Chunk 4: invalid response (JSONDecodeError); its blocks go to retry
2026-08-09 19:57:05,702 WARNING mulitaminer.extraction: Chunk 5: invalid response (JSONDecodeError); its blocks go to retry
2026-08-09 19:58:15,155 WARNING mulitaminer.extraction: Chunk 6: invalid response (JSONDecodeError); its blocks go to retry
2026-08-09 19:59:13,313 WARNING mulitaminer.extraction: Chunk 7: invalid response (JSONDecodeError); its blocks go to retry
2026-08-09 20:00:16,609 WARNING mulitaminer.extraction: Chunk 8: invalid response (JSONDecodeError); its blocks go to retry
2026-08-09 20:01:25,935 WARNING mulitaminer.extraction: Chunk 9: invalid response (JSONDecodeError); its blocks go to retry
2026-08-09 20:02:21,538 WARNING mulitaminer.extraction: Chunk 10: invalid response (JSONDecodeError); its blocks go to retry
2026-08-09 20:03:30,352 WARNING mulitaminer.extraction: Chunk 11: invalid response (JSONDecodeError); its blocks go to retry
2026-08-09 20:04:28,082 WARNING mulitaminer.extraction: Chunk 12: invalid response (JSONDecodeError); its blocks go to retry
2026-08-09 20:05:42,752 WARNING mulitaminer.extraction: Chunk 13: invalid response (JSONDecodeError); its blocks go to retry
2026-08-09 20:06:50,750 WARNING mulitaminer.extraction: Chunk 14: invalid response (JSONDecodeError); its blocks go to retry
2026-08-09 20:07:59,545 WARNING mulitaminer.extraction: Chunk 15: invalid response (JSONDecodeError); its blocks go to retry
